1,Top Blade Steak Lab,"G/F; Wing Ying Mansion; 4A Soares Avenue; Ho Man Tin",22.319496705795594,114.1751186549458,Western,/,3,4,"hours = ""mon=12:00-21:30;tue=12:00-21:30;wed=12:00-21:30;thu=12:00-21:30;fri=12:00-21:30;sat=12:00-21:30;sun=12:00-21:30"""
2,Sendonya,"G/F; 2A Victory Avenue; Ho Man Tin",22.31857308105148,114.17529234608352,Japanese,/,2,4,"hours = ""mon=11:30–15:00/ 17:30–22:00;tue=11:30–15:00/ 17:30–22:00;wed=11:30–15:00/ 17:30-22:00;thu=11:30–15:00/ 17:30–22:00;fri=11:30–15:00/ 17:30–22:00;sat=11:30–15:00/ 17:30–22:00;sun=11:30–15:00/ 17:30–22:00"""
3,Itamama,"No 101B; 1/F; Homantin Plaza; 80 Fat Kwong St; Quarry Hill",22.316324181356592,114.18207651724775,Western,salt & sugar reduction,1,3,"hours = ""mon=07:00–22:00;tue=07:00–22:00;wed=07:00–22:00;thu=07:00–22:00;fri=07:00–22:00;sat=07:00–22:00;sun=07:00–22:00"""
4,Grove HKMU Mini Café,"1/F; Jockey Club Institute of Healthcare",22.317656210699692,114.17990237122025,/,/,1,4,"hours = ""mon=07:30-19:00;tue=07:30-19:00;wed=07:30-19:00;thu=07:30-19:00;fri=07:30-19:00;sat=07:30-14:30;sun=closed"""
5,Sweet 19,"G/F; 19 19 Ho Man Tin Street; Ho Man Tin",22.316259659976115,114.17576661485029,Western,/,3,4,"hours = ""mon=12:00–21:30;tue=12:00–21:30;wed=12:00–21:30;thu=12:00–21:30;fri=12:00–21:30;sat=12:00–21:30;sun=12:00–21:30"""
6,Cafe Bonheur,"Shop 1; G/F; Valiant Court; 5 Peace Avenue; Ho Man Tin",22.318580463835765,114.17429322578768,Western,/,1,5,"hours = ""mon=08:30 - 17:30;tue=08:30 - 17:30;wed=08:30 - 17:30;thu=08:30 - 17:30;fri=08:30 - 17:30;sat=09:30 - 18:30;sun=09:30 - 18:30"""
7,Five To One,"G/F; 6 Victory Avenue; Ho Man Tin",22.3188865564252,114.17538687861773,Western,/,1,4,"hours = ""mon=08:30-21:00;tue=08:30-21:00;wed=08:30-21:00;thu=08:30-21:00;fri=08:30-21:00;sat=09:30-21:00;sun=09:30-21:00"""
8,MU Club,"Tai Ning Hall; 12/F; Block A; Main Campus; Hong Kong Metropolitan University; 30 Good Shepherd Street; Ho Man Tin", 22.316665508934246,114.18019750151034,Chinese,/,2,/,"hours = ""mon=12:00 - 22:00;tue=12:00 - 22:00;wed=12:00 - 22:00;thu=12:00 - 22:00;fri=12:00 - 22:00,;sat=12:00 - 22:00;sun=closed"""
9,Picture Kitchen,"G/F; 19 19 Ho Man Tin Street; Ho Man Tin",22.31608975903953,114.17549252094632,Western,/,2,4,"hours = ""mon=11:30 - 21:00;tue=11:30 - 21:00;wed=11:30 - 21:00;thu=11:30 - 21:00;fri=11:30 - 21:00;sat=11:30 - 21:00;sun=11:30 - 21:00"""
10,Homantin Sports Centre Restaurant,"1/F; Homantin Sports Centre; Chung Yi Street; Oi Man Estate; Ho Man Tin",22.311850168318962,114.18098333683668,/,/,1,3,"hours = ""mon=10:00 - 20:00;tue=10:00 - 20:00;wed=10:00 - 20:00;thu=10:00 - 20:00;fri=10:00 - 20:00;sat=10:00 - 20:00;sun=closed"""
11,Are U Labeler,"G/F; 25A Soares Avenue; Ho Man Tin",22.319809005019838,114.17474980985044,/,/,1,4,"hours = ""mon=11:30–19:00;tue=11:30–19:00;wed=11:30–19:00;thu=11:30–19:00;fri=11:30–19:00;sat=09:30–19:00;sun=09:30–19:00"""
12,Oi Man Tea Restaurant,"Shop 7-8; G/F; Chiu Man House; Oi Man Estate; Ho Man Tin",22.313651267244232,114.17882708628873,Hong Kong,/,1,3,"hours = ""mon=07:00–20:00;tue=07:00–20:00;wed=07:00–20:00;thu=07:00–20:00;fri=07:00–20:00;sat=07:00–20:00;sun=07:00–20:00"""
13,Power Sky Cafe,"Shop D; G/F; 73 Waterloo Road; Ho Man Tin",22.3192069557125,114.17607250560391,Hong Kong,/,1,3,"hours = ""mon=07:00 - 22:00;tue=07:00 - 22:00;wed=07:00 - 22:00;thu=07:00 - 22:00;fri=07:00 - 22:00;sat=07:00 - 22:00;sun=07:00 - 22:00"""
14,Fang Shu Yuangong Restaurant,"68 Fat Kwong St; Quarry Hill; Hong Kong",22.315895436391912,114.1822837712203,/,/,2,4,"hours = ""mon=11:00–22:30;tue=11:00–22:30;wed=11:00–22:30;thu=11:00–22:30;fri=11:00–22:30;sat=11:00–22:30;sun=11:00–22:30"""
15,Halfway Coffee,"G/F; Wing Ying Mansion; 4 Soares Avenue; Ho Man Tin",22.319422192376692,114.17515821251028,/,/,1,4,"hours = ""mon=08:00–18:00;tue=08:00–18:00;wed=08:00–18:00;thu=08:00–18:00;fri=08:00–18:00;sat=08:00–18:00;sun=08:00–18:00"""
16,Sun Lok yuen,"hop S18-S19; Homantin Market; G/F; Homantin Plaza; 88 Fat Kwong Street; Ho Man Tin",22.31653959302745,114.181735938686,Hong Kong,/,1,3,"hours = ""mon=07:00-22:00;tue=07:00-22:00;wed=07:00-22:00;thu=07:00-22:00;fri=07:00-22:00;sat=07:00-22:00;sun=07:00-22:00"""
17,Black Sugar Coffee & Lifestyle,"G/F; Peace Mansion; 8 Peace Ave; Ho Man Tin",22.320890213762603,114.17506169282917,Western,/,1,4,"hours = ""mon=08:00–18:00;tue=08:00–18:00;wed=08:00–18:00;thu=08:00–18:00;fri=08:00–18:00;sat=10:00–18:00;sun=10:00–18:00"""
18,Hiya! Chafan,"Shop 227-228; 2/F; Homantin Plaza; 80 Fat Kwong Street; Ho Man Tin",22.316464417299713,114.18209747976202,/,/,2,2,"hours = ""mon=07:00 - 21:30;tue=07:00 - 21:30;wed=07:00 - 21:30;thu=07:00 - 21:30;fri=07:00 - 21:30;sat=07:00 - 21:30;sun=07:00 - 21:30"""
19,Chan Kee Homemade Bean Curd & Snack Shop,"5A; Soares Avenue; Ho Man Tin",22.326002416318875,114.17361769216879,Hong Kong ,/,1,3,"hours = ""mon=09:00–23:00;tue=09:00–23:00;wed=09:00–23:00;thu=09:00–23:00;fri=09:00–23:00;sat=09:00–23:00;sun=09:00–23:00"""
20,Canton Bun Dim Sum Restaurant,"Shop 1-4; G/F; Cooked Food Stall; Oi Man Estate; 60 Chung Hau Street; Ho Man Tin",22.314931048513824,114.17828583070875,/,/,1,3,"hours = ""mon=07:00-22:00;tue=07:00-22:00;wed=07:00-22:00;thu=07:00-22:00;fri=07:00-22:00;sat=07:00-22:00;sun=07:00-22:00"""
