1,Top Blade Steak Lab,G/F; Wing Ying Mansion; 4A Soares Avenue; Ho Man Tin,22.31949671,114.1751187,Western,3,/,4,"hours = ""sun=12:00-21:30;mon=12:00-21:30;tue=12:00-21:30;wed=12:00-21:30;thu=12:00-21:30;fri=12:00-21:30;sat=12:00-21:30""",no,3956 2011,https://www.openrice.com/zh/hongkong/r-top-blade-steak-lab-%E4%BD%95%E6%96%87%E7%94%B0-%E8%A5%BF%E5%BC%8F-r542684,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.319496705795594/114.1751186549458&travelmode=walking,https://steakwithyou.com/
2,Sendonya,G/F; 2A Victory Avenue; Ho Man Tin,22.31857308,114.1752923,Japanese,2,/,4,"hours = ""sun=11:30-15:00/ 17:30-22:00;mon=11:30-15:00/ 17:30-22:00;tue=11:30-15:00/ 17:30-22:00;wed=11:30-15:00/ 17:30-22:00;thu=11:30-15:00/ 17:30-22:00;fri=11:30-15:00/ 17:30-22:00;sat=11:30-15:00/ 17:30-22:00""",yes,2868 6008,https://www.openrice.com/en/hongkong/r-sendonya-ho-man-tin-japanese-sushi-sashimi-r159941,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.31857308105148/114.17529234608352&travelmode=walking,
3,Itamama,No 101B; 1/F; Homantin Plaza; 80 Fat Kwong St; Quarry Hill,22.31632418,114.1820765,Western,1,salt & sugar reduction,3,"hours = ""sun=07:00-22:00;mon=07:00-22:00;tue=07:00-22:00;wed=07:00-22:00;thu=07:00-22:00;fri=07:00-22:00;sat=07:00-22:00""",yes,2409 7100,https://www.openrice.com/en/hongkong/r-itamama-ho-man-tin-western-pizza-r594150,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.316324181356592/114.18207651724775&travelmode=walking,
4,Grove HKMU Mini Café,1/F; Jockey Club Institute of Healthcare,22.31765621,114.1799024,/,1,/,4,"hours = ""sun=closed;mon=07:30-19:00;tue=07:30-19:00;wed=07:30-19:00;thu=07:30-19:00;fri=07:30-19:00;sat=07:30-14:30""",yes,3488 9180,https://www.grove.hk/,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.317656210699692/114.17990237122025&travelmode=walking,
5,Sweet 19,G/F; 19 19 Ho Man Tin Street; Ho Man Tin,22.31625966,114.1757666,Western,3,/,4,"hours = ""sun=12:00-21:30;mon=12:00-21:30;tue=12:00-21:30;wed=12:00-21:30;thu=12:00-21:30;fri=12:00-21:30;sat=12:00-21:30""",no,26721919,,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.316259659976115/114.17576661485029&travelmode=walking,
6,Cafe Bonheur,Shop 1; G/F; Valiant Court; 5 Peace Avenue; Ho Man Tin,22.31858046,114.1742932,Western,1,/,5,"hours = ""sun=09:30 - 18:30;mon=08:30 - 17:30;tue=08:30 - 17:30;wed=08:30 - 17:30;thu=08:30 - 17:30;fri=08:30 - 17:30;sat=09:30 - 18:30""",no,/,https://www.openrice.com/en/hongkong/r-cafe-bonheur-ho-man-tin-western-r997820,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.318580463835765/114.17429322578768&travelmode=walking,
7,Five To One,G/F; 6 Victory Avenue; Ho Man Tin,22.31888656,114.1753869,Western,1,/,4,"hours = ""sun=09:30-21:00;mon=08:30-21:00;tue=08:30-21:00;wed=08:30-21:00;thu=08:30-21:00;fri=08:30-21:00;sat=09:30-21:00""",no,9155 5795,https://www.openrice.com/en/hongkong/r-five-to-one-ho-man-tin-western-r675265,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.3188865564252/114.17538687861773&travelmode=walking,
8,MU Club,Tai Ning Hall; 12/F; Block A; Main Campus; Hong Kong Metropolitan University; 30 Good Shepherd Street; Ho Man Tin,22.31666551,114.1801975,Chinese,2,/,/,"hours = ""sun=closed;mon=12:00 - 22:00;tue=12:00 - 22:00;wed=12:00 - 22:00;thu=12:00 - 22:00;fri=12:00 - 22:00;sat=12:00 - 22:00""",no,3613 0124,https://www.openrice.com/en/hongkong/r-mu-club-ho-man-tin-guangdong-chinese-bbq-r1113889,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination= 22.316665508934246/114.18019750151034&travelmode=walking,
9,Picture Kitchen,G/F; 19 19 Ho Man Tin Street; Ho Man Tin,22.31608976,114.1754925,Western,2,/,4,"hours = ""sun=11:30 - 21:00;mon=11:30 - 21:00;tue=11:30 - 21:00;wed=11:30 - 21:00;thu=11:30 - 21:00;fri=11:30 - 21:00;sat=11:30 - 21:00""",no,6949 1447,https://www.openrice.com/en/hongkong/r-picture-kitchen-ho-man-tin-western-r1000882,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.31608975903953/114.17549252094632&travelmode=walking,
10,Homantin Sports Centre Restaurant,1/F; Homantin Sports Centre; Chung Yi Street; Oi Man Estate; Ho Man Tin,22.31185017,114.1809833,/,1,/,3,"hours = ""sun=closed;mon=10:00 - 20:00;tue=10:00 - 20:00;wed=10:00 - 20:00;thu=10:00 - 20:00;fri=10:00 - 20:00;sat=10:00 - 20:00""",no,9488 0916,https://www.openrice.com/en/hongkong/r-homantin-sports-centre-restaurant-ho-man-tin-international-curry-r8555,https://www.google.com/maps/dir/?api=1&origin=HKMU&destination=22.311850168318962/114.18098333683668&travelmode=walking,
